date,state,city,summary,month,year_month
2022-10-03,OKLAHOMA,OKLAHOMA CITY,"PRELIM INFO FROM FAA OPS: OKLAHOMA CITY, OK/UAS SIGHTING/0620C/OKLAHOMA CITY APCH ADVISED, DASSAULT F2TH, REPORTED A QUADCOPTER AT THE 12 O'CLOCK POSITION FLYING SE BOUND AT 50-100 FEET OVER THE APPROACH END OF RUNWAY 17L. NO IMPACT TO OPS. OKLAHOMA CITY PD NOTIFIED.",10,2022-10
2022-10-03,CALIFORNIA,LOS ALAMITOS,"PRELIM INFO FROM FAA OPS: LOS ALAMITOS, CA/UAS SIGHTING/1214P/SOCAL TRACON ADVISED, MOONEY M20P, REPORTED A RED UAS AT THE 2 O'CLOCK POSITION WHILE NE BOUND AT 3,500 FEET 4 SW SLI. NO EVASIVE ACTION TAKEN. LOS ALAMITOS PD NOTIFIED.",10,2022-10
2022-10-03,MISSISSIPPI,MERIDIAN,"PRELIM INFO FROM FAA OPS: MERIDIAN, MS/UAS SIGHTING/1501C/ATLANTA ARTCC ADVISED, PIPER PA32, HATTIESBURG-LAUREL, MS (PIB) - AUBURN, AL (AUO), REPORTED A UAS 100 FEET BELOW ACFT WHILE ENE BOUND AT 5,400 FEET 30 SSE MEI. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT PROVIDED.",10,2022-10
2022-10-04,CALIFORNIA,BYRON,"PRELIM INFO FROM FAA OPS: BYRON, CA/UAS SIGHTING/1455P/NORCAL TRACON ADVISED, CESSNA C172, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE N BOUND AT 3,800 FEET 7.5 BRENTWOOD PD NOTIFIED.",10,2022-10
2022-10-04,OREGON,PORTLAND,"PRELIM INFO FROM FAA OPS: PORTLAND, OR/LASER INCIDENT/1712P/PORTLAND TRACON REPORTED , ATR AT43, MFR - PDX, WAS ILLUMINATED BY A GREEN LASER FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 100 FEET LANDING RUNWAY 10R. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION PROVIDED.",10,2022-10
2022-10-04,OREGON,PORTLAND,"CORRECTION INFO (EVENT TYPE) FROM FAA OPS: PORTLAND, OR/UAS SIGHTING/1712P/PORTLAND TRACON ADVISED, ATR AT43, MFR - PDX, REPORTED A UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 100 FEET LANDING RUNWAY 10R. NO EVASIVE ACTION TAKEN. NO LEO NOTIFICATION PROVIDED.",10,2022-10
2022-10-04,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1724P/LAS VEGAS TRACON ADVISED, B752, LAS - HOU, REPORTED A UAS FROM THE LEFT SIDE WHILE AT 8,200 FEET. NO EVASIVE ACTION TAKEN. LAS VEGAS METRO PD NOTIFIED.",10,2022-10
2022-10-05,FLORIDA,LA BELLE,"PRELIM INFO FROM FAA OPS: LA BELLE, FL/UAS SIGHTING/1220E/MIAMI ARTCC ADVISED, CESSNA C172, REPORTED UAS 100 FEET ABOVE ACFT AT THE 10 O'CLOCK POSITION WHILE NNE BOUND AT 2,000 FEET 37 N LA BELLE VORTAC. NO EVASIVE ACTION REPORTED. LEOS TO BE NOTIFIED.",10,2022-10
2022-10-05,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1245E/ATLANTA TRACON ADVISED, BEECH BE36, SAV - PDK, REPORTED A UAS FROM 100 FEET BELOW ACFT WHILE W BOUND AT 2,600 FEET 14 NE ATL. NO EVASIVE ACTION TAKEN. DEKALB COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-05,FLORIDA,PENSACOLA,"PRELIM INFO FROM FAA OPS: PENSACOLA, FL/UAS SIGHTING/1232C/PENSACOLA ATCT ADVISED, SOCATA TBM8, PIB - PNS, REPORTED A BLACK UAS FROM 25 FEET BELOW THE 9 O'CLOCK POSITION WHILE N BOUND AT 1,700 FEET 7 S PNS. NO EVASIVE ACTION TAKEN. ATCT RE-SEQUENCED ARRIVALS FROM RUNWAY 35 TO RUNWAY 26. GULF BREEZE PD NOTIFIED.",10,2022-10
2022-10-05,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/1233C/HOBBY ATCT ADVISED, CESSNA C525, TEX - HOU, REPORTED SMALL UAS FROM THE TWELVE O'CLOCK POSITION WHILE SE BOUND AT 1,800 FEET 2 SE HOU. NO EVASIVE ACTION REPORTED. HOUSTON PD NOTIFIED.",10,2022-10
2022-10-05,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS SIGHTING/1308C/FORT WORTH-SPINKS FCT ADVISED, CESSNA C172, FWS - FWS, REPORTED A UAS FROM 200 FEET BELOW ACFT WHILE N BOUND AT 1,700 FEET 1 W FWS. NO EVASIVE ACTION TAKEN. BURLESON PD NOTIFIED.",10,2022-10
2022-10-05,GEORGIA,ATLANTA,"PRELIM INFO FROM FAA OPS: ATLANTA, GA/UAS SIGHTING/1429E/ATLANTA TRACON ADVISED, A320, DEN - ATL, REPORTED A UAS FROM 50 FEET BELOW THE 10 O'CLOCK POSITION WHILE NW BOUND AT 12,000 FEET 27 NW ATL. NO EVASIVE ACTION TAKEN. PAULDING COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-05,VIRGINIA,RICHMOND,"PRELIM INFO FROM FAA OPS: RICHMOND, VA/UAS SIGHTING/1820E/RICHMOND ATCT ADVISED, SOCATA TBM7, IAD - RIC, REPORTED UAS 100 FEET BELOW ACFT AT THE 10 O'CLOCK POSITION WHILE NE BOUND AT 1,500 FEET 5 SW RICHMOND. NO EVASIVE ACTION REPORTED. HENRICO COUNTY PD NOTIFIED.",10,2022-10
2022-10-05,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1918C/CHICAGO TRACON ADVISED, A388, ORD - LONDON, ENGLAND (EGLL), WAS ILLUMINATED BY GREEN LASER FROM THE 1 O'CLOCK POSITION WHILE NE BOUND AT 5,000 FEET 15 NE ORD. NO EVASIVE ACTION TAKEN. HIGHLAND PARKS PD NOTIFIED.",10,2022-10
2022-10-06,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/0800E/LAGUARDIA ATCT ADVISED, REPORTED DRONE WHILE N BOUND AT UNKN ALTITUDE 1 SW LGA. NO EVASIVE ACTION REPORTED. PORT AUTHORITY PD NOTIFIED.",10,2022-10
2022-10-06,WISCONSIN,WAUKESHA,"PRELIM INFO FROM FAA OPS: WAUKESHA, WI/UAS SIGHTING/1721C/WAUKESHA ATCT ADVISED, BEECH BE20, REPORTED A GREY UAS FROM THE 1 O'CLOCK POSITION WHILE W BOUND AT 1,900 FEET 3 E UES. NO INJURIES REPORTED. NO EVASIVE ACTION TAKEN. WAUKESHA CITY PD NOTIFIED.",10,2022-10
2022-10-07,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/0850C/CHICAGO TRACON ADVISED, B763, ORD - MEM, REPORTED UAS 200 FEET BELOW ACFT WHILE S BOUND AT AT 5,000 FEET 12 S CHICAGO. NO EVASIVE ACTION REPORTED. RIVERSIDE PD NOTIFIED.",10,2022-10
2022-10-07,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/1500C/HOUSTON ATCT ADVISED, E75L, DCA - IAH, REPORTED A BLACK AND YELLOW UAS WHILE E BOUND AT 3,000 FEET 10 W IAH. NO EVASIVE ACTION TAKEN. HOUSTON PD NOTIFIED.",10,2022-10
2022-10-07,NEW HAMPSHIRE,PORTSMOUTH,"PRELIM INFO FROM FAA OPS: PORTSMOUTH, NH/UAS SIGHTING/1735E/PORTSMOUTH ATCT ADVISED, CESSNA C172, REPORTED UAS OFF RIGHT SIDE WHILE SSE BOUND AT 500 FEET 1 NNW PSM. NO EVASIVE ACTION TAKEN. NEWINGTON PD NOTIFIED.",10,2022-10
2022-10-07,LOUISIANA,NEW ORLEANS,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS SIGHTING/1656C/LAKEFRONT ATCT ADVISED, PIPER P28A, REPORTED UAS AT THE 3 O'CLOCK POSITION WHILE E BOUND AT 1,300 FEET 6 W NEW. NO EVASIVE ACTION TAKEN. JEFFERSON PARISH PD NOTIFIED.",10,2022-10
2022-10-07,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/2040P/LAS VEGAS ATCT ADVISED, CESSNA C25B, EDMONTON, CANADA (CYEG) - LAS, REPORTED UAS FROM THE 9 O'CLOCK POSITION WHILE W BOUND AT 3,500 FEET 4 ENE LAS. NO EVASIVE ACTION REPORTED. METRO PD NOTIFIED.",10,2022-10
2022-10-08,ARIZONA,FLAGSTAFF,"PRELIM INFO FROM FAA OPS: FLAGSTAFF, AZ/UAS SIGHTING/1055M/W-ROC ADVISED, CRJ7, DFW - FLG, REPORTEDLY OBSERVED A POSSIBLE UAS WHILE NORTHEAST BOUND .5 SE FLAGSTAFF. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION PROVIDED.",10,2022-10
2022-10-08,VIRGINIA,RICHMOND,"PRELIM INFO FROM FAA OPS: RICHMOND, VA/UAS SIGHTING/1445E/POTOMAC TRACON ADVISED, CIRRUS SR22, OBSERVED A UAS 50 FEET BELOW WHILE SOUTHBOUND AT 8,000 FEET, 42 ENE RICHMOND. NO EVASIVE ACTION REPORTED.  RICHMOND COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-08,CALIFORNIA,SANTA MARIA,"PRELIM INFO FROM FAA OPS: SANTA MARIA, CA/UAS SIGHTING/1235P/SANTA MARIA ATCT ADVISED, CESSNA C152, REPORTED A WHITE UAS 100 FEET BELOW ACFT E BOUND AT 1,000 FEET 3 W SANTA MARIA. NO EVASIVE ACTION WAS REPORTED. SANTA BARBARA COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-08,PENNSYLVANIA,ALLENTOWN,"PRELIM INFO FROM FAA OPS: ALLENTOWN, PA/UAS SIGHTING/1620E/ALLENTOWN ATCT ADVISED, CESSNA C152, OBSERVED A QUAD-COPTER UAW WHILE SOUTHWEST BOUND AT 1,000 FEET ON SHORT FINAL TO RWY24. NO EVASIVE ACTION REPORTED. ALLENTOWN ARPT PD NOTIFIED.",10,2022-10
2022-10-09,MINNESOTA,MINNEAPOLIS,"PRELIM INFO FROM FAA OPS: MINNEAPOLIS, MN/UAS SIGHTING/1627C/MINNEAPOLIS ATCT ADVISED, B763, MEM - MSP, REPORTED A UAS 500 FEET FROM THE 3 O'CLOCK POSITION WHILE ESE BOUND AT 3,000 FEET 5 WNW MSP. NO EVASIVE ACTION TAKEN. MINNEAPOLIS ARPT PD NOTIFIED.",10,2022-10
2022-10-09,DISTRICT OF COLUMBIA,WASHINGTON,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS SIGHTING/1737E/POTOMAC TRACON ADVISED, CRJ9, BNA - DCA, REPORTED BLACK AND WHITE UAS WHILE SSE BOUND AT 4,500 FEET 11 WSW DCA. NO EVASIVE ACTION REPORTED. LEO INFORMATION NOT PROVIDED.",10,2022-10
2022-10-09,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO, IL/UAS SIGHTING/1826C/CHICAGO TRACON ADVISED, E75L, STL - ORD, REPORTED UAS AT THE 12 O'CLOCK POSITION WHILE W BOUND AT 4,000 FEET 15 ESE ORD. NO EVASIVE ACTION REPORTED. FBI NOTIFIED.",10,2022-10
2022-10-10,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1333E/NEW YORK TRACON ADVISED, A319, MSP - LGA, REPORTED A UAS WHILE N BOUND AT 4,000 FEET 7 SW LGA. NO EVASIVE ACTION TAKEN. NYPD AVIATION UNIT NOTIFIED.",10,2022-10
2022-10-10,CALIFORNIA,SAN DIEGO,"PRELIM INFO FROM FAA OPS: SAN DIEGO, CA/UAS SIGHTING/1215P/SAN DIEGO ATCT ADVISED, B38M, ABQ - SAN, REPORTED A UAS FROM THE RIGHT SIDE WHILE W BOUND AT 2,000 FEET 5 E SAN. NO EVASIVE ACTION TAKEN. SAN DIEGO HARBOR PD NOTIFIED.",10,2022-10
2022-10-10,GEORGIA,MACON,"PRELIM INFO FROM FAA OPS: MACON, GA/UAS INCIDENT/1530E/ATLANTA TRACON ADVISED, CIRRUS S22T, REPORTED UAS AT THE 12 O'CLOCK POSITION WHILE S BOUND AT 6,000 FEET 17 ESE MCN. PIC PREFORMED A RIGHT TURN TO AVOID UAS. MILLEDGEVILLE PD NOTIFIED.",10,2022-10
2022-10-10,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/1542C/DALLAS-FORT WORTH ATCT ADVISED, CRJ7, FLG - DFW, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE S BOUND AT 3,000 FEET 7 N DFW. NO EVASIVE ACTION TAKEN. DFW ARPT PD NOTIFIED.",10,2022-10
2022-10-10,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS SIGHTING/1546C/DALLAS-FORT WORTH ATCT ADVISED, B788, TOKYO, JAPAN (RJAA) - DFW, REPORTED A UAS ABOVE ACFT FROM 9 O'CLOCK POSITION WHILE S BOUND AT 1,800 FEET 4 N DFW. NO EVASIVE ACTION TAKEN. DFW ARPT PD NOTIFIED.",10,2022-10
2022-10-11,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS SIGHTING/1030C/HOUSTON TRACON ADVISED, PIPER P28A, REPORTED A BLACK UAS AT SAME ALTITUDE OFF RIGHT SIDE WHILE E BOUND AT 2,000 FEET 10 N HOUSTON. NO EVASIVE ACTION REPORTED. FBI NOTIFIED.",10,2022-10
2022-10-12,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/0841E/NEW YORK TRACON ADVISED, CRJ9, LGA - SAV, REPORTED A MULTI-COLORED UAS OFF THE LEFT SIDE WHILE NE BOUND AT 1,500 FEET 10 SW LGA. NO EVASIVE ACTION TAKEN. NEW JERSEY STATE PD NOTIFIED.",10,2022-10
2022-10-12,MISSISSIPPI,MERIDIAN,"PRELIM INFO FROM FAA OPS: MERIDIAN, MS/UAS SIGHTING/1207C/MEMPHIS ARTCC ADVISED, A20N, MCO - MEM, REPORTED A WHITE UAS FROM THE 12 O'CLOCK POSITION WHILE N BOUND AT FL350 11 W MEI. NO EVASIVE ACTION TAKEN. NO LEO NOTIFIED.",10,2022-10
2022-10-12,TEXAS,EL PASO,"PRELIM INFO FROM FAA OPS: EL PASO, TX/UAS SIGHTING/1325M/EL PASO ATCT ADVISED, LEARJET LJ60, REPORTED A WHITE UAS FROM THE 7 O'CLOCK POSITION WHILE SE BOUND AT 7,000 FEET 10 N ELP. NO EVASIVE ACTION TAKEN. DPS NOTIFIED.",10,2022-10
2022-10-13,NEVADA,LAS VEGAS,"PRELIM INFO FROM FAA OPS: LAS VEGAS, NV/UAS SIGHTING/1516P/LAS VEGAS TRACON ADVISED, VAN'S RV12, REPORTED UAS WHILE ENE BOUND AT 11,500 FEET 21 WNW LAS. NO EVASIVE ACTION TAKEN. LAS VEGAS METRO PD NOTIFIED.",10,2022-10
2022-10-13,TEXAS,EL PASO,"PRELIM INFO FROM FAA OPS: EL PASO, TX/UAS SIGHTING/1801M/EL PASO ATCT ADVISED, MOONEY M20T, OBSERVED A UAS WHILE SOUTH BOUND AT 7,500 FEET, 15 N ELP. NO EVASIVE ACTION REPORTED. NO LEO NOTIFICATION PROVIDED.",10,2022-10
2022-10-14,TENNESSEE,NASHVILLE,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS SIGHTING/0702C/NASHVILLE TRACON ADVISED, B737, BNA - MDW, REPORTED A UAS FROM THE LEFT SIDE WHILE W BOUND AT 300 FEET 3 W BNA. NO EVASIVE ACTION TAKEN. MNAA NOTIFIED.",10,2022-10
2022-10-14,NEW JERSEY,NEWARK,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS SIGHTING/0810E/[REPORTING FACILITY] ADVISED, DE HAVILLAND CANADA DH8D, TORONTO, CANADA (CYTZ) - EWR, REPORTED BLACK QUAD COPTER UAS FROM THE 12 O'CLOCK POSITION WHILE NE BOUND AT 1,400 FEET 5 SW EWR. NO EVASIVE ACTION TAKEN. EUGENE PORT AUTHORITY NOTIFIED.",10,2022-10
2022-10-14,MARYLAND,BALTIMORE,"PRELIM INFO FROM FAA OPS: BALTIMORE, MD/UAS SIGHTING/1040E/POTOMAC TRACON ADVISED, V-22, REPORTED BLACK QUAD COPTER UAS FROM THE 12 O'CLOCK POSITION WHILE SW BOUND AT 3,500 FEET 15 ESE BALTIMORE VORTAC. NO EVASIVE ACTION TAKEN. LAW ENFORCEMENT NOTIFICATION NOT REPORTED.",10,2022-10
2022-10-14,TEXAS,GALVESTON,"PRELIM INFO FROM FAA OPS: GALVESTON, TX/UAS SIGHTING/0950C/GALVESTON ATCT ADVISED, AS65, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE SE BOUND AT 500 FEET .5 SE GLS. NO EVASIVE ACTION TAKEN. GALVESTON PD NOTIFIED.",10,2022-10
2022-10-14,PUERTO RICO,SAN JUAN,"PRELIM INFO FROM FAA OPS: SAN JUAN, PUERTO RICO/UAS SIGHTING/1207A/SAN JUAN ATCT ADVISED, PILATUS BRITTEN-NORMAN BN2P, REPORTED BLACK UAS WHILE E BOUND AT 3,800 FEET 3 E SJU. NO EVASIVE ACTION TAKEN. PUERTO RICO PD NOTIFIED.",10,2022-10
2022-10-14,WASHINGTON,SEATTLE,"PRELIM INFO FROM FAA OPS: SEATTLE, WA/UAS SIGHTING/1357P/BOEING FIELD ATCT ADVISED, CESSNA C25A, REPORTED A UAS FROM THE 4 O'CLOCK POSITION WHILE NW BOUND AT 2,200 FEET ON 8 MILE FINAL. NO EVASIVE ACTION TAKEN. NO LEO NOTIFIED.",10,2022-10
2022-10-14,TEXAS,NEW BRAUNFELS,"PRELIM INFO FROM FAA OPS: NEW BRAUNFELS, TX/UAS SIGHTING/1542C/NEW BRAUNFELS ATCT ADVISED, PIPER P28A, REPORTED A UAS FROM THE 9 O'CLOCK POSITION WHILE E BOUND AT 2,200 FEET 4 E BAZ. NO EVASIVE ACTION TAKEN. GUADALUPE COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-14,PENNSYLVANIA,PHILADELPHIA,"PRELIM INFO FROM FAA OPS: PHILADELPHIA, PA/UAS SIGHTING/1649E/PHILADELPHIA ATCT ADVISED, CRJ9, MSN - PHL, REPORTED BLUE UAS FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 5,000 FEET 10 NE PHL. NO EVASIVE ACTION TAKEN. ARPT PD NOTIFIED.",10,2022-10
2022-10-14,NORTH CAROLINA,RALEIGH,"PRELIM INFO FROM FAA OPS: RALEIGH, NC/UAS SIGHTING/1730E/RALEIGH DURHAM ATCT ADVISED, BEECH BE58, REPORTED A RED UAS WHILE ESE BOUND AT 3,500 FEET 16 NW RDU. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-14,CALIFORNIA,VAN NUYS,"PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS SIGHTING/1737P/SOCAL TRACON ADVISED, EMBRAER E135, BUR - MRY, REPORTED A BLACK UAS AT THE 11 O'CLOCK POSITION WHILE NW BOUND AT 9,000 FEET 9 N VNY. NO EVASIVE ACTION TAKEN. SANTA CLARITA PD NOTIFIED.",10,2022-10
2022-10-15,TEXAS,WACO,"PRELIM INFO FROM FAA OPS: WACO, TX/UAS SIGHTING/1317C/WACO ATCT ADVISED, CESSNA C210, RFI - MNZ, REPORTED A BLACK/WHITE UAS 300 FEET FROM THE 3 O'CLOCK POSITION WHILE W BOUND AT 7,600 FEET 8 N ACT. NO EVASIVE ACTION TAKEN. WACO PD NOTIFIED.",10,2022-10
2022-10-15,SOUTH CAROLINA,SPARTANBURG,"PRELIM INFO FROM FAA OPS: SPARTANBURG, SC/UAS SIGHTING/1528E/ATLANTA ARTCC ADVISED, CRJ9, ATL - CHO, REPORTED A UAS FROM THE 12 O'CLOCK POSITION WHILE ENE BOUND AT FL310 25 ENE SPA. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",10,2022-10
2022-10-15,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1538E/NEW YORK TRACON ADVISED, A319, DTW - LGA, REPORTED A LARGE RED UAS AT THE 3 O'CLOCK POSITION WHILE NE BOUND AT 3,000 FEET 7 N LGA. NO EVASIVE ACTION TAKEN. NYPD AVIATION NOTIFIED.",10,2022-10
2022-10-15,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1709E/NEW YORK TRACON ADVISED, E170, GSO - LGA, REPORTED A SILVER UAS FROM THE 3 O'CLOCK POSITION WHILE N BOUND AT 6,000 FEET 15 SSW LGA. NO EVASIVE ACTION REPORTED. NYPD AVIATION UNIT NOTIFIED.",10,2022-10
2022-10-15,NEW YORK,NEW YORK,"PRELIM INFO FROM FAA OPS: NEW YORK, NY/UAS SIGHTING/1726E/NEW YORK TRACON ADVISED, A321, ATL - LGA, REPORTED UAS BELOW ACFT AT THE 12 O'CLOCK POSITION WHILE NE BOUND AT 4,000 FEET 6 NW LGA. NO EVASIVE ACTION REPORTED. NY PD AVIATION NOTIFIED.",10,2022-10
2022-10-15,NEW JERSEY,MORRISTOWN,"PRELIM INFO FROM FAA OPS: MORRISTOWN, NJ/UAS SIGHTING/1744E/MORRISTOWN ATCT ADVISED, GULFSTREAM GLF5, REPORTED A WHITE QUADCOPTER FROM THE 3 O'CLOCK POSITION WHILE E BOUND AT 3,000 FEET 8 NW MMU. NO EVASIVE ACTION REPORTED. LEO INFORMATION NOT PROVIDED.",10,2022-10
2022-10-16,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS SIGHTING/1225E/CENTRAL FLORIDA TRACON ADVISED, CESSNA C68A, ORL - OSU, REPORTED UAS OFF LEFT SIDE WHILE NE BOUND AT 1,900 FEET 5 NE ORL. NO EVASIVE ACTION TAKEN. ORANGE COUNTY SHERIFF NOTIFIED.",10,2022-10
2022-10-16,TEXAS,SAN ANTONIO,"PRELIM INFO FROM FAA OPS: SAN ANTONIO, TX/UAS SIGHTING/1312C/SAN ANTONIO TRACON ADVISED, T38, REPORTED A BLACK UAS WHILE N BOUND AT 3,000 FEET 12 WSW SAT. NO EVASIVE ACTION TAKEN. SAN ANTONIO PD NOTIFIED.",10,2022-10
